,"United Airlines Holdings Inc - GJR-GARCH Volatility"
2009-01-08,1.1757996257866388
2009-01-09,1.159654802085517
2009-01-12,1.1487126690343414
2009-01-13,1.141471056137649
2009-01-14,1.1513029922657199
2009-01-15,1.1395264226861965
2009-01-16,1.1239969928785396
2009-01-19,1.0964237702640345
2009-01-20,1.0755681401008492
2009-01-21,1.0798880608655694
2009-01-22,1.059707406787364
2009-01-23,1.036724719489219
2009-01-26,1.01296377822704
2009-01-27,1.056937918706676
2009-01-28,1.040860261514484
2009-01-29,1.1087730678547347
2009-01-30,1.1643175082424897
2009-02-02,1.1465587904682428
2009-02-03,1.1194856694035882
2009-02-04,1.1100080918623971
2009-02-05,1.0828573036185332
2009-02-06,1.0608672433438597
2009-02-09,1.035195146820154
2009-02-10,1.0571717873647595
2009-02-11,1.0923822023449485
2009-02-12,1.0707926858173809
2009-02-13,1.0452300856749197
2009-02-16,1.0197188789073193
2009-02-17,1.0315390307690737
2009-02-18,1.1988876694669939
2009-02-19,1.1845411618006358
2009-02-20,1.2431284438866324
2009-02-23,1.2846356604111535
2009-02-24,1.2558610018628653
2009-02-25,1.2524364989890706
2009-02-26,1.2384972200211029
2009-02-27,1.45174600671054
2009-03-02,1.5280469299075865
2009-03-03,1.5232029136001546
2009-03-04,1.4942228267564377
2009-03-05,1.567009169086129
2009-03-06,1.5379775082880764
2009-03-09,1.5032906665046517
2009-03-10,1.5135825884305092
2009-03-11,1.5055961888899694
2009-03-12,1.4842363491034707
2009-03-13,1.4605077815609202
2009-03-16,1.491759102536331
2009-03-17,1.4618529953452912
2009-03-18,1.4287378975865377
2009-03-19,1.517302701506855
2009-03-20,1.5950081128320321
2009-03-23,1.563352290432326
2009-03-24,1.537375235913471
2009-03-25,1.5025611215521317
2009-03-26,1.4955410004409777
2009-03-27,1.4879824111863689
2009-03-30,1.5170654316805192
2009-03-31,1.4794166674740419
2009-04-01,1.4555485069210163
2009-04-02,1.4329826014296196
2009-04-03,1.3973992142548242
2009-04-06,1.384262638374669
2009-04-07,1.3784493418330614
2009-04-08,1.3478272381874468
2009-04-09,1.3562082716161263
2009-04-10,1.3226015590494364
2009-04-13,1.291838345924133
2009-04-14,1.3376604860726058
2009-04-15,1.3186397673360228
2009-04-16,1.2872222325612623
2009-04-17,1.2554648382173035
2009-04-20,1.2825639633172297
2009-04-21,1.2839007157876343
2009-04-22,1.2841196439584592
2009-04-23,1.25489596222157
2009-04-24,1.223965323038198
2009-04-27,1.3481729903836526
2009-04-28,1.359470276247333
2009-04-29,1.3271548093572205
2009-04-30,1.3109980366118021
2009-05-01,1.283563369686125
2009-05-04,1.2675150886675866
2009-05-05,1.2603147606848062
2009-05-06,1.2363000072797865
2009-05-07,1.2461847615823265
2009-05-08,1.2154297017927447
2009-05-11,1.1862852017959258
2009-05-12,1.1735330195610179
2009-05-13,1.1934471483899067
2009-05-14,1.1648899484500672
2009-05-15,1.1441127968867404
2009-05-18,1.1279975585079962
2009-05-19,1.1004764858914524
2009-05-20,1.0793289081646984
2009-05-21,1.0567717236943843
2009-05-22,1.0310912626921052
2009-05-25,1.0059511678009028
2009-05-26,0.9816646005637567
2009-05-27,1.0118653388667882
2009-05-28,0.9953848100106812
2009-05-29,0.9807652012586907
2009-06-01,0.9699350287519262
2009-06-02,0.9566025067916141
2009-06-03,0.9334679019655684
2009-06-04,0.920458668273595
2009-06-05,0.9004990016651879
2009-06-08,0.937395133334924
2009-06-09,0.9147392284143061
2009-06-10,0.9298292940104652
2009-06-11,0.9382061116833549
2009-06-12,0.9620594846473891
2009-06-15,0.9448333186335037
2009-06-16,0.9237063624334304
2009-06-17,0.9066588663880149
2009-06-18,0.9002750979561747
2009-06-19,0.8787857144947225
2009-06-22,0.9105647324600267
2009-06-23,0.9929792082415422
2009-06-24,0.9695924071484884
2009-06-25,0.9873328800359077
2009-06-26,0.9688789707698274
2009-06-29,0.9454486934783928
2009-06-30,0.9834865550682429
2009-07-01,0.9623994201993266
2009-07-02,0.9391787369824767
2009-07-03,0.916461337973403
2009-07-06,0.8946028168969735
2009-07-07,0.878571909407534
2009-07-08,0.8575533452794641
2009-07-09,0.8416377534307737
2009-07-10,0.8236339672451592
2009-07-13,0.8048057678719756
2009-07-14,0.7872112270540862
2009-07-15,0.7813928794147026
2009-07-16,0.7630090091211245
2009-07-17,0.7542469675113053
2009-07-20,0.7411006814191983
2009-07-21,0.7367454702948638
2009-07-22,0.8291866496754515
2009-07-23,0.8113262032006608
2009-07-24,0.8248181035840568
2009-07-27,0.8086774091069937
2009-07-28,0.8033009199546581
2009-07-29,0.7929007604990678
2009-07-30,0.7746393870698804
2009-07-31,0.7563790716300922
2009-08-03,0.7403324847661353
2009-08-04,0.8304910788202363
2009-08-05,0.9046165994497338
2009-08-06,0.8841288593864585
2009-08-07,0.8662097990671775
2009-08-10,0.8467474995534383
2009-08-11,0.8459356784058703
2009-08-12,0.8271755025386088
2009-08-13,0.8290477501326448
2009-08-14,0.8159195916265278
2009-08-17,0.8731641701306805
2009-08-18,0.8541966331003653
2009-08-19,0.8414814436456695
2009-08-20,0.8247848010238792
2009-08-21,0.8095532101103671
2009-08-24,0.7903781803668419
2009-08-25,0.7962826257052202
2009-08-26,0.780985615744618
2009-08-27,0.7741763287520486
2009-08-28,0.7559666659317725
2009-08-31,0.7608022476307494
2009-09-01,0.8224623736074496
2009-09-02,0.8033569144533457
2009-09-03,0.8105367332823356
2009-09-04,0.7927918995549841
2009-09-07,0.7739785578425284
2009-09-08,0.7557099443569603
2009-09-09,0.739246532626295
2009-09-10,0.8204743652302612
2009-09-11,0.8011354716900257
2009-09-14,0.8145590365344921
2009-09-15,0.8013485533773679
2009-09-16,0.7863611765594739
2009-09-17,0.7998542142165659
2009-09-18,0.7817678581266948
2009-09-21,0.798206026035885
2009-09-22,0.7942578044942334
2009-09-23,0.7891666363956348
2009-09-24,0.7709457646293933
2009-09-25,0.7627467286065539
2009-09-28,0.7484831300704111
2009-09-29,0.730982046291152
2009-09-30,0.7139154655839863
2009-10-01,1.2020405450732516
2009-10-02,1.1725536286242946
2009-10-05,1.144093744410833
2009-10-06,1.11712635095588
2009-10-07,1.0969366490367618
2009-10-08,1.07283372430214
2009-10-09,1.04665904477055
2009-10-12,1.0213595938747528
2009-10-13,0.9972578864065202
2009-10-14,0.9877586446090968
2009-10-15,0.9683628059771813
2009-10-16,0.9515937956922587
2009-10-19,0.9332686494252339
2009-10-20,0.9325817390448947
2009-10-21,1.0563815276688626
2009-10-22,1.035186626652412
2009-10-23,1.0298532380878356
2009-10-26,1.0118670821802633
2009-10-27,0.9872510744486429
2009-10-28,0.9837560734247083
2009-10-29,0.9665650086776367
2009-10-30,0.9465178476922662
2009-11-02,0.9246438211549354
2009-11-03,0.9052345375647132
2009-11-04,0.8904018396207412
2009-11-05,0.8692559300919379
2009-11-06,0.8624770744779248
2009-11-09,0.8419071849081704
2009-11-10,0.8407089008687847
2009-11-11,0.8455507104840017
2009-11-12,0.8314942356986006
2009-11-13,0.8127805386449655
2009-11-16,0.7978373518456001
2009-11-17,0.7790568990773395
2009-11-18,0.7809567363177041
2009-11-19,0.7641817270780557
2009-11-20,0.7466937203432208
2009-11-23,0.7304290437818037
2009-11-24,0.7144149382536734
2009-11-25,0.702583014312188
2009-11-26,0.6862162516291785
2009-11-27,0.6717700856691968
2009-11-30,0.6758473614655901
2009-12-01,0.6766896984586066
2009-12-02,0.7176192388725374
2009-12-03,0.7015110091794711
2009-12-04,0.696576046099778
2009-12-07,0.6808992612714454
2009-12-08,0.6651970023985376
2009-12-09,0.6506009744843608
2009-12-10,0.6369257319342656
2009-12-11,0.6490847309866409
2009-12-14,0.643994369540604
2009-12-15,0.651465317572624
2009-12-16,0.6380756412840095
2009-12-17,0.6247529495728691
2009-12-18,0.6131773968436867
2009-12-21,0.5996404922951751
2009-12-22,0.6471929974899295
2009-12-23,0.6330261321620143
2009-12-24,0.6185772449743039
2009-12-25,0.6045311902623387
2009-12-28,0.607628386433682
2009-12-29,0.5939153879131269
2009-12-30,0.581067706898258
2009-12-31,0.568439727675679
2010-01-01,0.5558059445525929
2010-01-04,0.5446356029493482
2010-01-05,0.5681719000443439
2010-01-06,0.5873891827400297
2010-01-07,0.5763594191127617
2010-01-08,0.5673878673359168
2010-01-11,0.5588633965469558
2010-01-12,0.5621893702303522
2010-01-13,0.5939964242316615
2010-01-14,0.5806687971640977
2010-01-15,0.6027922925850994
2010-01-18,0.5891882992728216
2010-01-19,0.5759697179539911
2010-01-20,0.5654650334017126
2010-01-21,0.5674325017127588
2010-01-22,0.5550148862868455
2010-01-25,0.5523505300078927
2010-01-26,0.5409213806090494
2010-01-27,0.5291257090711053
2010-01-28,0.5215146709345768
2010-01-29,0.5266141585639338
2010-02-01,0.524599046892005
2010-02-02,0.5420041475856067
2010-02-03,0.5409537577279595
2010-02-04,0.6158288171237198
2010-02-05,0.6070773789229837
2010-02-08,0.5957451334253601
2010-02-09,0.6973993088611431
2010-02-10,0.6811743741509951
2010-02-11,0.6669808183148898
2010-02-12,0.6530495478905104
2010-02-15,0.6380452303716407
2010-02-16,0.6272799279428604
2010-02-17,0.6149766727283239
2010-02-18,0.6161370756576819
2010-02-19,0.6046562329125534
2010-02-22,0.591802206822516
2010-02-23,0.578557758568667
2010-02-24,0.5658025132499855
2010-02-25,0.5532497157703744
2010-02-26,0.58258038072012
2010-03-01,0.5818307073367648
2010-03-02,0.5699618197739214
2010-03-03,0.5595242729319256
2010-03-04,0.548783596693633
2010-03-05,0.537172095328862
2010-03-08,0.549651023832395
2010-03-09,0.5443174074012331
2010-03-10,0.5426221668896324
2010-03-11,0.5312533971656087
2010-03-12,0.5234176955357929
2010-03-15,0.5126384690988377
2010-03-16,0.50287048431977
2010-03-17,0.5117592715330129
2010-03-18,0.5007759379203438
2010-03-19,0.5343317845683523
2010-03-22,0.5347558358727842
2010-03-23,0.523220745001572
2010-03-24,0.5119542323294144
2010-03-25,0.50099717963278
2010-03-26,0.491226456535069
2010-03-29,0.48091826166200013
2010-03-30,0.4742739233818364
2010-03-31,0.4655086495437007
2010-04-01,0.4559545279959396
2010-04-02,0.4466020188042146
2010-04-05,0.43880146262290426
2010-04-06,0.4302197233972427
2010-04-07,0.43567195686663146
2010-04-08,0.45432164817450643
2010-04-09,0.4461326457456347
2010-04-12,0.4506779772742396
2010-04-13,0.4414860464386163
2010-04-14,0.4429732709769293
2010-04-15,0.45089750498311704
2010-04-16,0.45878423556177256
2010-04-19,0.4973065786816016
2010-04-20,0.486902236593754
2010-04-21,0.48112239399138346
2010-04-22,0.47202765724054774
2010-04-23,0.48183197901343167
2010-04-26,0.48494566376038467
2010-04-27,0.5896741880055459
2010-04-28,0.5930835961312705
2010-04-29,0.5821229870053235
2010-04-30,0.5692752128803783
2010-05-03,0.559401755449516
2010-05-04,0.7102929649095506
2010-05-05,0.693716538652496
2010-05-06,0.7811616119600349
2010-05-07,0.7628752375061076
2010-05-10,0.7702892911108137
2010-05-11,0.7522250753597624
2010-05-12,0.7409709467988607
2010-05-13,0.7254266248215597
2010-05-14,0.7103944256538054
2010-05-17,0.6939170296224182
2010-05-18,0.6882409316511188
2010-05-19,0.6815932129943784
2010-05-20,0.7115748815128313
2010-05-21,0.7032908644366143
2010-05-24,0.6891045058624998
2010-05-25,0.6786817192174841
2010-05-26,0.670032682784952
2010-05-27,0.6589335930122246
2010-05-28,0.6482599756270628
2010-05-31,0.6333882884929275
2010-06-01,0.6336615595094909
2010-06-02,0.6800454631861019
2010-06-03,0.6661513611785237
2010-06-04,0.6858467175688749
2010-06-07,0.6873412602194051
2010-06-08,0.6742075615120317
2010-06-09,0.661123988371319
2010-06-10,0.6493609042743488
2010-06-11,0.6405622592691518
2010-06-14,0.6260500171711523
2010-06-15,0.6176150645831107
2010-06-16,0.6040307608061033
2010-06-17,0.5904525281510784
2010-06-18,0.57755487012058
2010-06-21,0.5728386055426083
2010-06-22,0.595977949256514
2010-06-23,0.5828549905422447
2010-06-24,0.5776770274123768
2010-06-25,0.5756434521472471
2010-06-28,0.5631234145371687
2010-06-29,0.5742103760817981
2010-06-30,0.5653756733358802
2010-07-01,0.5531358314193721
2010-07-02,0.6968822167339327
2010-07-05,0.680671612453465
2010-07-06,0.6649361232479403
2010-07-07,0.6723261708426945
2010-07-08,0.6589989863421643
2010-07-09,0.6510241930988434
2010-07-12,0.6361107639397403
2010-07-13,0.6313337881026169
2010-07-14,0.617539372024165
2010-07-15,0.6174801988728059
2010-07-16,0.6148520895304821
2010-07-19,0.6017818441927274
2010-07-20,0.5987354273800741
2010-07-21,0.5905828984994402
2010-07-22,0.5872982240735962
2010-07-23,0.5744350302688721
2010-07-26,0.5764628140652266
2010-07-27,0.5709339086093942
2010-07-28,0.5582732879155154
2010-07-29,0.5459286876506857
2010-07-30,0.533980786171188
2010-08-02,0.524072540780377
2010-08-03,0.538882610593439
2010-08-04,0.5373203178737986
2010-08-05,0.5285422102349064
2010-08-06,0.5170556527106149
2010-08-09,0.514736394672069
2010-08-10,0.5218226250365157
2010-08-11,0.5785730031724605
2010-08-12,0.5670924369095395
2010-08-13,0.5546567587256105
2010-08-16,0.543168736213711
2010-08-17,0.5398868548131173
2010-08-18,0.5285388727425826
2010-08-19,0.5424103538834781
2010-08-20,0.5306993046914609
2010-08-23,0.5192063520412669
2010-08-24,0.5294235242223375
2010-08-25,0.5232501237458048
2010-08-26,0.5129684551704911
2010-08-27,0.5110378616110551
2010-08-30,0.5009556555225223
2010-08-31,0.4934392558360148
2010-09-01,0.4895825107170394
2010-09-02,0.48078839753055613
2010-09-03,0.4712214969629463
2010-09-06,0.4614115707261793
2010-09-07,0.45380720267532115
2010-09-08,0.4461726638869755
2010-09-09,0.4853935735050476
2010-09-10,0.4755583951524776
2010-09-13,0.46850207299434654
2010-09-14,0.461696900574392
2010-09-15,0.45230994329110213
2010-09-16,0.4464912688955967
2010-09-17,0.4402184503175668
2010-09-20,0.4342718181047442
2010-09-21,0.44002288895010905
2010-09-22,0.45683082733108105
2010-09-23,0.4497063722030187
2010-09-24,0.44254822516873793
2010-09-27,0.43363266067029593
2010-09-28,0.4253672060702376
2010-09-29,0.41885390627281965
2010-09-30,0.41140970090652945
2010-10-01,0.41617631455910603
2010-10-04,0.4200200695204933
2010-10-05,0.41335362149133276
2010-10-06,0.4081462237973053
2010-10-07,0.40639341628525427
2010-10-08,0.4039280926105536
2010-10-11,0.4009565083646854
2010-10-12,0.40222623037290844
2010-10-13,0.39694640998502556
2010-10-14,0.41138731239550885
2010-10-15,0.40445993769469923
2010-10-18,0.39698814894150175
2010-10-19,0.4016247352940305
2010-10-20,0.43026880621304636
2010-10-21,0.4219490476349011
2010-10-22,0.41384205682844755
2010-10-25,0.4057781014298332
2010-10-26,0.40273664000187515
2010-10-27,0.40500838213548124
2010-10-28,0.40611756918409725
2010-10-29,0.398416499658335
2010-11-01,0.4011231197525269
2010-11-02,0.3938468600865062
2010-11-03,0.3873144722315447
2010-11-04,0.40959195890544536
2010-11-05,0.4016605611707478
2010-11-08,0.3987454240489789
2010-11-09,0.3987063024332573
2010-11-10,0.39111949324982515
2010-11-11,0.3849664058070522
2010-11-12,0.3854411908449848
