,"American Airlines Group Inc - GJR-GARCH Volatility"
2022-06-08,0.6698645445162775
2022-06-09,0.6762991231696224
2022-06-10,0.6889812566391048
2022-06-13,0.7661418067172683
2022-06-14,0.7593095890346703
2022-06-15,0.7475935954781849
2022-06-16,0.8036862148873776
2022-06-17,0.7981087820591877
2022-06-21,0.7838955108941497
2022-06-22,0.7698856460540098
2022-06-23,0.7568458601326957
2022-06-24,0.7547681630805582
2022-06-27,0.746695914010516
2022-06-28,0.7335779958532017
2022-06-29,0.7318576828865022
2022-06-30,0.7255811932513135
2022-07-01,0.715832589367095
2022-07-05,0.7111428717212879
2022-07-06,0.6985885570205111
2022-07-07,0.6868930921184169
2022-07-08,0.6756741433561004
2022-07-11,0.6789877937047174
2022-07-12,0.6914065316440104
2022-07-13,0.68882780431687
2022-07-14,0.6769084487580281
2022-07-15,0.6657120188189485
2022-07-18,0.6541720782791023
2022-07-19,0.6477417818853435
2022-07-20,0.6365469817696098
2022-07-21,0.685000741605438
2022-07-22,0.6810100968414491
2022-07-25,0.6691548520335185
2022-07-26,0.6629670399047
2022-07-27,0.655758992313487
2022-07-28,0.6466866134380702
2022-07-29,0.6356193389128433
2022-08-01,0.6294793848888143
2022-08-02,0.6211822920850207
2022-08-03,0.6152228961929164
2022-08-04,0.6054215556122857
2022-08-05,0.5958176734538847
2022-08-08,0.5868004907973408
2022-08-09,0.585071780211625
2022-08-10,0.5780923870801276
2022-08-11,0.5686806203837089
2022-08-12,0.5601114889019864
2022-08-15,0.5508550299307432
2022-08-16,0.5421196731350006
2022-08-17,0.5483639594284074
2022-08-18,0.5400588301287185
2022-08-19,0.5567957327422688
2022-08-22,0.5603712519392835
2022-08-23,0.5512300282096395
2022-08-24,0.5425796715690702
2022-08-25,0.5367410325287233
2022-08-26,0.5560450593252313
2022-08-29,0.5501825951445575
2022-08-30,0.5432211593817016
2022-08-31,0.5423490241532661
2022-09-01,0.5336529321572215
2022-09-02,0.5249599184699723
2022-09-06,0.5174719470657323
2022-09-07,0.5177506697243375
2022-09-08,0.5094255470625713
2022-09-09,0.502166916472999
2022-09-12,0.4955070675580723
2022-09-13,0.5281532504870153
2022-09-14,0.5217443856909243
2022-09-15,0.5142620265973369
2022-09-16,0.5234229914705696
2022-09-19,0.5187057084706125
2022-09-20,0.5139720965188674
2022-09-21,0.5425801360167916
2022-09-22,0.5529594921872668
2022-09-23,0.5627961940169817
2022-09-26,0.5632925456634412
2022-09-27,0.5576689986004243
2022-09-28,0.5532540429133799
2022-09-29,0.5629551278743271
2022-09-30,0.5570654108809845
2022-10-03,0.5489805570327605
2022-10-04,0.5626166119125883
2022-10-05,0.5536686084653889
2022-10-06,0.5458961439687956
2022-10-07,0.5601047402049013
2022-10-10,0.5521225950819256
2022-10-11,0.5439522368737902
2022-10-12,0.539182981927286
2022-10-13,0.5328313504290076
2022-10-14,0.5241552403630054
2022-10-17,0.5157632247456191
2022-10-18,0.512339504625595
2022-10-19,0.5056303630123492
2022-10-20,0.5167095005900317
2022-10-21,0.5095316437670971
2022-10-24,0.5041552260960903
2022-10-25,0.49670132715747806
2022-10-26,0.4943454035388617
2022-10-27,0.48651484581665133
2022-10-28,0.47881660497522427
2022-10-31,0.471906854368529
2022-11-01,0.4648672842866015
2022-11-02,0.47812051786134424
2022-11-03,0.4710627474126987
2022-11-04,0.46662216021102126
2022-11-07,0.4602252000923026
2022-11-08,0.4534550046035439
2022-11-09,0.45181956132952017
2022-11-10,0.4622878285224477
2022-11-11,0.4552855626966443
