Date,TOSI,,
Jun-20,-1.769010652,,
Jul-20,-0.650920524,,
Aug-20,-0.935540839,,
Sep-20,-1.777641498,,
Oct-20,-0.081305472,,
Nov-20,0.834370428,,
Dec-20,-0.034118478,,
Jan-21,0.05337248,,
Feb-21,0.667391898,,
Mar-21,-0.378682741,,
Apr-21,1.333752956,,
May-21,0.814483767,,
Jun-21,0.710381279,,
Jul-21,0.29785036,,
Aug-21,-0.359447447,,
Sep-21,0.362537985,,
Oct-21,0.37627045,,
Nov-21,-0.627259006,,
Dec-21,0.282513829,,
Jan-22,-0.611508677,,
Feb-22,0.518192741,,
Mar-22,-1.436493801,,
Apr-22,-0.982151753,,
May-22,-0.400685441,,
Jun-22,-1.579228335,,
Jul-22,-1.530325834,,
Aug-22,-0.902527587,,
Sep-22,-1.670059334,,
Oct-22,-2.603945579,,
Nov-22,-0.908954636,,
Dec-22,-1.849449901,,
Jan-23,-0.042316294,,
Feb-23,-0.0625033,,
Mar-23,-0.247774268,,
Apr-23,-0.313758798,,
May-23,0.036779299,,
Jun-23,-0.554930972,,
Jul-23,0.980460017,,
Aug-23,0.422427214,,
Sep-23,-1.376110389,,
Oct-23,-1.934972308,,
Nov-23,-0.808377346,,
Dec-23,-2.312513956,,
Jan-24,-0.500665688,,
Feb-24,0.73860828,,
Mar-24,-0.365665464,,
Apr-24,-0.474437207,,
May-24,0.0698294,,
Jun-24,-0.13359388,,
Jul-24,1.015181784,,
Aug-24,-1.021839165,,
Sep-24,-0.915581844,,
Oct-24,-1.639458162,,
Nov-24,-0.667277327,,
Dec-24,-0.769513251,,
Jan-25,-0.655538751,,
Feb-25,-1.465637219,,
Mar-25,-1.405292337,,
Apr-25,-1.716058915,,
May-25,-1.57999711,,
Jun-25,-2.088743647,,
Jul-25,-0.738641656,,
Aug-25,-1.434664282,,
Sep-25,-1.137544537,,
Oct-25,-1.187824875,,
