,"US Global Jets ETF - GJR-GARCH Volatility"
2015-10-01,0.2672915486879449
2015-10-02,0.2583534091124017
2015-10-05,0.26107181081074227
2015-10-06,0.3086155802936722
2015-10-07,0.2990896728407719
2015-10-08,0.2885213094383151
2015-10-09,0.2900992802472974
2015-10-12,0.2883197849610741
2015-10-13,0.29705344367638625
2015-10-14,0.28662385595061696
2015-10-15,0.2784979159706586
2015-10-16,0.2819519959141982
2015-10-19,0.27609607458274377
2015-10-20,0.26652863786092484
2015-10-21,0.2604195476533972
2015-10-22,0.2592617218179344
2015-10-23,0.2530293477049649
2015-10-26,0.24795625581944894
2015-10-27,0.2479992419343253
2015-10-28,0.24526279049215763
2015-10-29,0.23744241744052388
2015-10-30,0.23143791219244958
2015-11-02,0.22527649411334508
2015-11-03,0.2188208637219038
2015-11-04,0.21622658948427226
2015-11-05,0.2104968123274079
2015-11-06,0.2059776580117368
2015-11-09,0.21850312949703948
2015-11-10,0.21281031553944935
2015-11-11,0.2071328269492791
2015-11-12,0.20558952502498762
2015-11-13,0.20561532530431678
2015-11-16,0.2062105904166903
2015-11-17,0.200868171694771
2015-11-18,0.19589129842849068
2015-11-19,0.1945368962433605
2015-11-20,0.19040041176426065
2015-11-23,0.1861157252894016
2015-11-24,0.21666138742286314
2015-11-25,0.21167190460710653
2015-11-27,0.20632732441438772
2015-11-30,0.20696249225403138
2015-12-01,0.21217234409790547
2015-12-02,0.2080191779620331
2015-12-03,0.20685299997824544
2015-12-04,0.2136378505789646
2015-12-07,0.21310656207634715
2015-12-08,0.2610604688573129
2015-12-09,0.2641204225348733
2015-12-10,0.25887156274878864
2015-12-11,0.312522819646822
2015-12-14,0.3012306558104603
2015-12-15,0.292150036796164
2015-12-16,0.2836838959123341
2015-12-17,0.28647809130891666
2015-12-18,0.29078840141931384
2015-12-21,0.28499936842035284
2015-12-22,0.2755208689010689
2015-12-23,0.2663596253188535
2015-12-24,0.2574019510415568
2015-12-28,0.24925135987592925
2015-12-29,0.24234935857146395
2015-12-30,0.2536613734883575
2015-12-31,0.2513339698488845
2016-01-04,0.30363854696003273
2016-01-05,0.29262729537758436
2016-01-06,0.2822137487791833
2016-01-07,0.3282963368665572
2016-01-08,0.3234528268542416
2016-01-11,0.3115611086127407
2016-01-12,0.30033553635891974
2016-01-13,0.356461782523737
2016-01-14,0.3428268215878098
2016-01-15,0.35024568177209553
2016-01-19,0.33672188702251
2016-01-20,0.32387147450802145
2016-01-21,0.3150705121080042
2016-01-22,0.3039055853386048
2016-01-25,0.30524779900926396
2016-01-26,0.2959491530651845
