,"Delta Air Lines Inc - GJR-GARCH Volatility"
2014-01-02,0.312903301996
2014-01-03,0.3252521249738425
2014-01-06,0.31857056361189434
2014-01-07,0.32203785864397994
2014-01-08,0.323180263011218
2014-01-09,0.32738423663945704
2014-01-10,0.32168811852476
2014-01-13,0.32498184564679916
2014-01-14,0.3258685397518453
2014-01-15,0.32729343348133344
2014-01-16,0.320555804814076
2014-01-17,0.3225208960672161
2014-01-21,0.32243626533006486
2014-01-22,0.31933335372303345
2014-01-23,0.3163328203016564
2014-01-24,0.367394624892635
2014-01-27,0.367225474606542
2014-01-28,0.3596725610885545
2014-01-29,0.380651798366959
2014-01-30,0.37467689280231836
2014-01-31,0.3663067026413795
2014-02-03,0.4032313425318027
2014-02-04,0.39577058354556877
2014-02-05,0.38674383614997676
2014-02-06,0.3823428194696482
2014-02-07,0.3769145080784236
2014-02-10,0.37384712062553055
2014-02-11,0.36572774956243065
2014-02-12,0.35993236864722244
2014-02-13,0.35233240441378655
2014-02-14,0.34470326891400377
2014-02-18,0.34277062126150776
2014-02-19,0.3381396125862807
2014-02-20,0.34100678409673907
2014-02-21,0.33394878888835633
2014-02-24,0.3298006470581888
2014-02-25,0.32655903846012285
2014-02-26,0.3202238448335789
2014-02-27,0.31473821121687784
2014-02-28,0.30875938204368786
2014-03-03,0.3143618736424632
2014-03-04,0.3277475436978895
2014-03-05,0.3213410954110912
2014-03-06,0.3169834752790751
2014-03-07,0.31056522213538335
2014-03-10,0.3053401237963986
2014-03-11,0.30106149604358245
2014-03-12,0.3002115394184574
2014-03-13,0.3186350658668942
2014-03-14,0.3138147702068849
2014-03-17,0.307540885086845
2014-03-18,0.30194006690070135
2014-03-19,0.2994970243591746
2014-03-20,0.29394230862534915
2014-03-21,0.31380589669411885
2014-03-24,0.3096063429582798
2014-03-25,0.31055885239355197
2014-03-26,0.31062140814824724
2014-03-27,0.30458982123505046
2014-03-28,0.3091408688607833
2014-03-31,0.31016074800012977
2014-04-01,0.3104559447006934
2014-04-02,0.3043301319291273
2014-04-03,0.3012858642551954
2014-04-04,0.3112700364635183
2014-04-07,0.31577871745891933
2014-04-08,0.3159642840575498
2014-04-09,0.317859382117313
2014-04-10,0.38665621939909356
2014-04-11,0.3838534782960811
2014-04-14,0.39124272926151615
2014-04-15,0.3824955011500136
2014-04-16,0.38840398813606436
2014-04-17,0.3796717034491773
2014-04-21,0.3712868890763583
2014-04-22,0.36781820509594143
2014-04-23,0.3791196750367884
2014-04-24,0.37319799838691525
2014-04-25,0.37393767127691213
2014-04-28,0.3667236714475901
2014-04-29,0.3620780026458387
2014-04-30,0.3541548983142828
2014-05-01,0.3468202520038298
2014-05-02,0.3394266394966665
2014-05-05,0.33267882349196803
2014-05-06,0.3258004419886505
2014-05-07,0.32071256102622486
2014-05-08,0.3206449007859006
2014-05-09,0.314117563978839
2014-05-12,0.31213335611561926
2014-05-13,0.3059571205250827
2014-05-14,0.30254275796984464
2014-05-15,0.29887769471809034
2014-05-16,0.2948386752106989
2014-05-19,0.29055900605556867
2014-05-20,0.2926976009467792
2014-05-21,0.28841032020369867
2014-05-22,0.28341709899016326
2014-05-23,0.2795579710900764
2014-05-27,0.2749144412358143
2014-05-28,0.2730992127414504
2014-05-29,0.26865882230070165
2014-05-30,0.2652575638883838
2014-06-02,0.26423608307723606
2014-06-03,0.26041306418841587
2014-06-04,0.2607752618635441
2014-06-05,0.26638086417759066
2014-06-06,0.26415023679716815
2014-06-09,0.2625169434531798
2014-06-10,0.25809504063425937
2014-06-11,0.2861387859064199
2014-06-12,0.37725249422634705
2014-06-13,0.37078568904422404
2014-06-16,0.365475371536852
2014-06-17,0.35896902874760656
2014-06-18,0.3513643647269882
2014-06-19,0.34408566142749974
2014-06-20,0.3367799572421138
2014-06-23,0.33463214071574177
2014-06-24,0.3327170744040648
2014-06-25,0.3282497019039012
2014-06-26,0.32148841534338374
2014-06-27,0.31491386822431305
2014-06-30,0.31653203439778416
2014-07-01,0.32058905658178666
2014-07-02,0.3940124485343071
2014-07-03,0.3854697279943005
2014-07-07,0.42807520040291985
2014-07-08,0.4217965476387876
2014-07-09,0.41288963271072815
2014-07-10,0.4041480416876964
2014-07-11,0.3957115221976737
2014-07-14,0.38673445308118076
2014-07-15,0.3795607445455865
2014-07-16,0.3715137838627256
2014-07-17,0.3959185643538327
2014-07-18,0.38828228494228273
2014-07-21,0.3794783756684958
2014-07-22,0.37204248628348885
2014-07-23,0.3718622018974233
2014-07-24,0.38489907404409274
2014-07-25,0.37619006685450906
2014-07-28,0.3678287215539319
2014-07-29,0.3647652763079293
2014-07-30,0.35682030771804457
2014-07-31,0.351989855535639
2014-08-01,0.3444288280617638
2014-08-04,0.3389984707930111
2014-08-05,0.355985830055074
2014-08-06,0.34854906856854456
2014-08-07,0.3449412941356833
2014-08-08,0.3394086722521981
2014-08-11,0.33314522238807504
2014-08-12,0.32692048758069603
2014-08-13,0.3228368343296657
2014-08-14,0.3219031202085498
2014-08-15,0.3153846052045027
2014-08-18,0.31314099444180094
2014-08-19,0.30685875382657735
2014-08-20,0.3048175034344321
2014-08-21,0.3065623538531762
2014-08-22,0.30155598883126167
2014-08-25,0.2957314301862418
2014-08-26,0.29826645738332697
2014-08-27,0.29280137089843006
2014-08-28,0.2888472163618684
2014-08-29,0.28561733770904035
2014-09-02,0.28836973142131267
2014-09-03,0.37026577535602717
2014-09-04,0.3628465262338886
2014-09-05,0.3549516885436665
2014-09-08,0.34785306725685206
2014-09-09,0.3413249179301154
2014-09-10,0.33617215589635024
2014-09-11,0.3290879669632422
2014-09-12,0.322313734116311
2014-09-15,0.3206393993257847
2014-09-16,0.3145177909117384
2014-09-17,0.3153045327932981
2014-09-18,0.3100121500844765
2014-09-19,0.31760776564813403
2014-09-22,0.32162383680318224
2014-09-23,0.31644273605188034
2014-09-24,0.3100792047203424
2014-09-25,0.3272610169268561
2014-09-26,0.3209436847797445
2014-09-29,0.32098415848761136
2014-09-30,0.31453481651480175
2014-10-01,0.346659272485246
2014-10-02,0.3399199588138361
2014-10-03,0.3455378642059362
2014-10-06,0.35369953180630587
2014-10-07,0.36195566303070875
2014-10-08,0.3589293278627424
2014-10-09,0.3797824972270313
2014-10-10,0.38674917918464935
2014-10-13,0.4730030655291782
2014-10-14,0.4767784957398981
2014-10-15,0.46859560177193293
2014-10-16,0.4608542975822185
2014-10-17,0.4542242648736415
2014-10-20,0.4532633194954121
2014-10-21,0.4493838221387147
2014-10-22,0.4391527597545073
2014-10-23,0.42999221760399337
2014-10-24,0.42725443894709864
2014-10-27,0.41747957746457487
2014-10-28,0.4077437106811091
2014-10-29,0.399394100106649
2014-10-30,0.3934577395350103
2014-10-31,0.38844473120380973
2014-11-03,0.38009138111775176
2014-11-04,0.3807347407316543
2014-11-05,0.3741445715228272
2014-11-06,0.3690532205522667
2014-11-07,0.36153748187428647
2014-11-10,0.35503059135798426
2014-11-11,0.34798608592873365
2014-11-12,0.34352970526578924
2014-11-13,0.3376583201995769
2014-11-14,0.332261034128289
2014-11-17,0.32699413205744227
2014-11-18,0.32620719305374
2014-11-19,0.32130345096185947
2014-11-20,0.31867852139734804
2014-11-21,0.324996811061278
2014-11-24,0.3188999774223887
2014-11-25,0.31351369348084307
2014-11-26,0.3073007471517113
2014-11-28,0.31994833332899236
2014-12-01,0.3298078677048199
2014-12-02,0.33661960370721133
2014-12-03,0.3295396807669754
2014-12-04,0.33103514375365045
2014-12-05,0.32623917361347027
2014-12-08,0.31950640556959103
2014-12-09,0.3277809500260807
2014-12-10,0.321166638989793
2014-12-11,0.3272427282614543
2014-12-12,0.3262455847977103
2014-12-15,0.31954252674722344
2014-12-16,0.39106900874398115
2014-12-17,0.38373827799686594
2014-12-18,0.3759708871708021
2014-12-19,0.36848032674757547
2014-12-22,0.3603118499300294
2014-12-23,0.35342847593254284
2014-12-24,0.34795005676102425
2014-12-26,0.3407632004779859
2014-12-29,0.3339154336055763
2014-12-30,0.3274329958938164
2014-12-31,0.32067044204291734
2015-01-02,0.314122136755753
2015-01-05,0.3170174992015425
2015-01-06,0.32869329107847634
2015-01-07,0.3227556047538137
2015-01-08,0.32033317280606455
2015-01-09,0.337538627122882
2015-01-12,0.3398697656456073
2015-01-13,0.3335189523850181
2015-01-14,0.35057918877195204
2015-01-15,0.3439887910964542
2015-01-16,0.33846286118273006
2015-01-20,0.36022189661374
2015-01-21,0.35232571691547016
2015-01-22,0.3501221226943536
2015-01-23,0.342792235034576
2015-01-26,0.3374831515794529
2015-01-27,0.34192179105754583
2015-01-28,0.3411846491271259
2015-01-29,0.3415105128689306
2015-01-30,0.4287279626989591
2015-02-02,0.42561938771630226
2015-02-03,0.4184505820285115
2015-02-04,0.41073294389420484
2015-02-05,0.40898838809922217
2015-02-06,0.4042876579862413
2015-02-09,0.40901368045580094
2015-02-10,0.4014310570944904
2015-02-11,0.3936577091840067
2015-02-12,0.3850400088302513
2015-02-13,0.37762598162732397
2015-02-17,0.3693408523302019
2015-02-18,0.3621375042715128
2015-02-19,0.3553437935295902
2015-02-20,0.35375955223852257
2015-02-23,0.3468963914485131
2015-02-24,0.3413077889530211
2015-02-25,0.3527077736597253
2015-02-26,0.3564863834706734
2015-02-27,0.3756588500221977
2015-03-02,0.36931693706083935
2015-03-03,0.36153190564596094
2015-03-04,0.3590772624380441
2015-03-05,0.3594712116428797
2015-03-06,0.3571146521777005
2015-03-09,0.35118114300172787
2015-03-10,0.3632860228525177
2015-03-11,0.3563666145979446
2015-03-12,0.3535792821984908
2015-03-13,0.34598798534053177
2015-03-16,0.3398152639302714
2015-03-17,0.3332876271330816
2015-03-18,0.33644426878756606
2015-03-19,0.335291891342454
2015-03-20,0.3283085030881777
2015-03-23,0.33145413619383296
2015-03-24,0.3289423651644768
2015-03-25,0.3555117213257532
2015-03-26,0.3505211759651619
2015-03-27,0.34481704018218123
2015-03-30,0.3387975537101766
2015-03-31,0.33696637280298464
2015-04-01,0.37291138196627893
2015-04-02,0.3798712681948978
2015-04-06,0.37503725574934554
2015-04-07,0.36687859463315653
2015-04-08,0.3672188867691857
2015-04-09,0.35943195183511445
2015-04-10,0.3515871652947531
2015-04-13,0.34438825589732297
2015-04-14,0.33702436351100795
2015-04-15,0.3339478833590655
2015-04-16,0.32888800647028765
