,"Southwest Airlines Co - GJR-GARCH Volatility"
2017-12-18,0.2699285372093881
2017-12-19,0.2640147814043752
2017-12-20,0.2585077213547015
2017-12-21,0.2533752971384543
2017-12-22,0.24868818789801822
2017-12-26,0.24436684472325618
2017-12-27,0.24043502573460465
2017-12-28,0.23695913571753252
2017-12-29,0.2361066098185309
2018-01-02,0.23671137615247817
2018-01-03,0.2583003902436077
2018-01-04,0.2537116371000747
2018-01-05,0.25086429080281636
2018-01-08,0.24774660441669025
2018-01-09,0.2782713388044123
2018-01-10,0.2731591382326427
2018-01-11,0.28394374161090435
2018-01-12,0.2779078689062258
2018-01-16,0.2711614087586949
2018-01-17,0.2666237843854145
2018-01-18,0.2730164764258744
2018-01-19,0.2666166956512664
2018-01-22,0.2610719073358909
2018-01-23,0.25636592987368656
2018-01-24,0.35550303796170296
2018-01-25,0.3841918536356543
2018-01-26,0.3711013144681652
2018-01-29,0.3595322661458913
2018-01-30,0.34963844125038657
2018-01-31,0.34153489953443994
2018-02-01,0.33258848085885356
2018-02-02,0.3511955301537877
2018-02-05,0.3730906865629321
2018-02-06,0.3651994967137825
2018-02-07,0.35256023995907426
2018-02-08,0.3992397700630537
2018-02-09,0.3837232064913458
2018-02-12,0.37704141788403034
2018-02-13,0.36341200585561284
2018-02-14,0.3517027221958909
2018-02-15,0.3402571063181488
2018-02-16,0.3287056342687177
2018-02-20,0.3216914869871442
2018-02-21,0.3119385227893471
2018-02-22,0.309276930274471
2018-02-23,0.3024422887097636
2018-02-26,0.3057427330289307
2018-02-27,0.3103346922276013
2018-02-28,0.30646217450119356
2018-03-01,0.29755442796234777
2018-03-02,0.2897493868845972
2018-03-05,0.2838542231498415
2018-03-06,0.2765685079686406
2018-03-07,0.2768326657025865
2018-03-08,0.27394681965666257
2018-03-09,0.2776461409780442
2018-03-12,0.2708847437564545
2018-03-13,0.26651095662280005
2018-03-14,0.26796836977524047
2018-03-15,0.26258537811538557
2018-03-16,0.26237608275145813
2018-03-19,0.2581713826124034
2018-03-20,0.2530692316343494
2018-03-21,0.35818550221917134
2018-03-22,0.35260891253625454
2018-03-23,0.3411059049620807
2018-03-26,0.33326724951606035
2018-03-27,0.3326198099933316
2018-03-28,0.3241861742887873
2018-03-29,0.3194638514761881
2018-04-02,0.4151337085807415
2018-04-03,0.41015845523407174
2018-04-04,0.3943792651750343
2018-04-05,0.3801202536040404
2018-04-06,0.3941928309850396
2018-04-09,0.38113119788335353
2018-04-10,0.373177436616953
2018-04-11,0.364464803238941
2018-04-12,0.3619507894728233
2018-04-13,0.3488954290328264
2018-04-16,0.3371170307178206
2018-04-17,0.33117122701104335
2018-04-18,0.33350705179950846
2018-04-19,0.3366604758506706
2018-04-20,0.3253446984353672
2018-04-23,0.3151057822382826
2018-04-24,0.3233036739661336
2018-04-25,0.3130001316293653
2018-04-26,0.3078457159032752
2018-04-27,0.29901197902425247
2018-04-30,0.2986456529065843
2018-05-01,0.2902663638797992
2018-05-02,0.2917150637180055
2018-05-03,0.28380676736117477
2018-05-04,0.2786012311530586
2018-05-07,0.2827670525361822
2018-05-08,0.2763654254786586
2018-05-09,0.28070897242517917
2018-05-10,0.2747476522192683
2018-05-11,0.2702262318872837
2018-05-14,0.2653430519158171
2018-05-15,0.2644713973192564
2018-05-16,0.2716984976035017
2018-05-17,0.2708073329878643
2018-05-18,0.26608208733396543
2018-05-21,0.26026699829213845
2018-05-22,0.2906583375717958
2018-05-23,0.2881451446753875
2018-05-24,0.28644804974026267
2018-05-25,0.2980068811286075
2018-05-29,0.3207484285230405
2018-05-30,0.31102751132335543
2018-05-31,0.30270234885114455
2018-06-01,0.2941873545888742
2018-06-04,0.28950898431654937
2018-06-05,0.2881536277751852
2018-06-06,0.2809499087026013
2018-06-07,0.27413703215727714
